direction,records,records_loosened,records_tightened,published_name,gbif_species,old_taxon_id,old_taicol_id,old_scientific_name,old_common_name_zh,new_taxon_id,new_taicol_id,new_scientific_name,new_common_name_zh,precision_before,precision_after,resolved_via,note
unresolved,43,0,0,Passeriformes,,,,,,,,,,coarse_10km 43,coarse_10km 43,,not identified to species
unresolved,42,0,0,Bufonidae,,,,,,,,,,coarse_10km 42,coarse_10km 42,,not identified to species
unresolved,37,0,0,Ardeidae,,,,,,,,,,coarse_10km 37,coarse_10km 37,,not identified to species
unresolved,37,0,0,Strigidae,,,,,,,,,,coarse_10km 37,coarse_10km 37,,not identified to species
unresolved,33,0,0,Soricidae,,,,,,,,,,coarse_10km 33,coarse_10km 33,,not identified to species
unresolved,30,0,0,Dopasia harti,,124441,t0124472,Dopasia harti,哈特氏蛇蜥,,,,,coarse_10km 30,coarse_10km 30,,"the published name matches Dopasia harti, which TaiCOL does not record in Taiwan. TaiCOL resolves it to t0028707 Dopasia formosensis — a biologist should confirm before it is applied"
unresolved,29,0,0,Candidiopotamon rathbunae,,,,,,,,,,coarse_10km 29,coarse_10km 29,,taicol returned 2 taxa — ambiguous
unresolved,28,0,0,Decapoda,,,,,,,,,,coarse_10km 28,coarse_10km 28,,not identified to species
unresolved,26,0,0,"Zoothera Vigors, 1832",,,,,,,,,,coarse_10km 26,coarse_10km 26,,not identified to species
unresolved,26,0,0,Testudines,,,,,,,,,,coarse_10km 26,coarse_10km 26,,not identified to species
unresolved,20,0,0,"Pipistrellus Kaup, 1829",,,,,,,,,,coarse_10km 20,coarse_10km 20,,not identified to species
unresolved,18,0,0,"Acridotheres Vieillot, 1816",,,,,,,,,,coarse_10km 18,coarse_10km 18,,not identified to species
unresolved,18,0,0,"Coenobita Latreille, 1829",,,,,,,,,,coarse_10km 18,coarse_10km 18,,not identified to species
unresolved,17,0,0,Sesarmops impressus,,105665,t0105665,Sesarmops impressus,,,,,,exact 17,exact 17,,"the published name matches Sesarmops impressus, which TaiCOL does not record in Taiwan. TaiCOL resolves it to t0038839 Sesarmops imperator — a biologist should confirm before it is applied"
unresolved,13,0,0,Upupa epops epops,,102553,t0102553,Upupa epops epops,,,,,,exact 13,exact 13,,"the published name matches Upupa epops epops, which TaiCOL does not record in Taiwan. TaiCOL cannot settle it either: taicol matched ""Upupa epops"", not the published name"
unresolved,12,0,0,Sylviidae,,,,,,,,,,coarse_10km 12,coarse_10km 12,,not identified to species
unresolved,11,0,0,Scolopacidae,,,,,,,,,,coarse_10km 11,coarse_10km 11,,not identified to species
unresolved,11,0,0,"Takydromus Daudin, 1802",,,,,,,,,,coarse_10km 11,coarse_10km 11,,not identified to species
unresolved,11,0,0,Turdus merula mandarinus,,,,,,,,,,coarse_10km 11,coarse_10km 11,,the name suggests Turdus mandarinus (t0096597) but TaiCOL says t0028405. A biologist decides; nothing is remapped.
unresolved,10,0,0,"Mogera Pomel, 1848",,,,,,,,,,coarse_10km 10,coarse_10km 10,,not identified to species
unresolved,10,0,0,"Hemidactylus Oken, 1817",,,,,,,,,,coarse_10km 10,coarse_10km 10,,not identified to species
unresolved,9,0,0,Sesarmidae,,,,,,,,,,coarse_10km 9,coarse_10km 9,,not identified to species
unresolved,9,0,0,Rallidae,,,,,,,,,,coarse_10km 9,coarse_10km 9,,not identified to species
unresolved,9,0,0,Hirundo spec,,,,,,,,,,coarse_10km 9,coarse_10km 9,,"taicol matched ""Hirundo"", not the published name"
unresolved,8,0,0,Potamidae,,,,,,,,,,coarse_10km 8,coarse_10km 8,,not identified to species
unresolved,8,0,0,Carnivora,,,,,,,,,,coarse_10km 8,coarse_10km 8,,not identified to species
unresolved,8,0,0,Anatidae,,,,,,,,,,coarse_10km 8,coarse_10km 8,,not identified to species
unresolved,8,0,0,Microhylidae,,,,,,,,,,coarse_10km 8,coarse_10km 8,,not identified to species
unresolved,7,0,0,Coenobitidae,,,,,,,,,,coarse_10km 7,coarse_10km 7,,not identified to species
unresolved,7,0,0,"Prinia Horsfield, 1821",,,,,,,,,,coarse_10km 7,coarse_10km 7,,not identified to species
